comparison_id,simulation_id,reference_simulation,observable,comparison_time_key,reference_match_strategy,reference_match_key,time,time_index,elapsed_seconds,value_index,value,reference_value,signed_error,absolute_error,relative_error,unit,selection,reference_selection
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:0,exact_time_key,time_index:0,0,0,,0,112.56531524658203,132.24531878179116,-19.680003535209124,19.680003535209124,0.14881436799802142,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:1,exact_time_key,time_index:1,1,1,,0,114.15611267089844,143.59820545325744,-29.442092782358998,29.442092782358998,0.20503106351104558,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:2,exact_time_key,time_index:2,2,2,,0,113.77091217041016,143.56068672846402,-29.789774558053864,29.789774558053864,0.20750649245917402,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:3,exact_time_key,time_index:3,3,3,,0,113.1178970336914,135.62476748712416,-22.506870453432754,22.506870453432754,0.1659495597333982,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:4,exact_time_key,time_index:4,4,4,,0,112.46649169921875,131.32830006918633,-18.861808369967576,18.861808369967576,0.14362333449858716,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:5,exact_time_key,time_index:5,5,5,,0,111.61499786376953,123.98280097995426,-12.367803116184731,12.367803116184731,0.09975418379347936,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:6,exact_time_key,time_index:6,6,6,,0,109.7719955444336,117.7717753857996,-7.999779841366006,7.999779841366006,0.06792612079728047,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:7,exact_time_key,time_index:7,7,7,,0,109.06504821777344,117.15264746891853,-8.087599251145093,8.087599251145093,0.06903471177030629,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:8,exact_time_key,time_index:8,8,8,,0,109.16141510009766,116.58384635496445,-7.422431254866794,7.422431254866794,0.06366603510633553,m,nearest_cell,nearest_cell
example12_mf6_vs_nwt_different_meshes_demonstrative,nwt_demo_structured,mf6_demo_triangular,head_outlet_lowland,time_index:9,exact_time_key,time_index:9,9,9,,0,110.52651977539062,118.58447229657756,-8.057952521186934,8.057952521186934,0.06795116059574938,m,nearest_cell,nearest_cell
