case_id,site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,site_status,maturity,site_tags,cluster_tags,tags,recipe_id,recipe_label,launcher,config_path,status,returncode,duration_seconds,reused_from_report,child_artifacts_json,child_wall_time_seconds,child_success,reason,detail,missing_fields
transient_backend_compare::headwater_100km2_outlet_2,headwater_100km2_outlet_2,Headwater 100 km2 outlet 2,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,ready,validated,"[""mesh_ready""]","[""regional_headwater""]","[""mesh_ready"", ""regional_headwater""]",transient_backend_compare,Transient backend comparison,comparison,/home/bb/Documents/01_Git_Repository/02-HydroModPy-dev/docs/readthedocs/source/_static/capability_gallery/simulation/regional_lab_headwater_100km2_transient_backend_compare_recipe_summary.json,planned,,,false,,,,,,
transient_backend_compare::headwater_100km2_outlet_27,headwater_100km2_outlet_27,Headwater 100 km2 outlet 27,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,prototype,screening,,,"[""mesh_ready"", ""regional_headwater""]",transient_backend_compare,Transient backend comparison,comparison,,skipped_missing_required_fields,,,false,,,,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]"
transient_backend_compare::headwater_100km2_outlet_34,headwater_100km2_outlet_34,Headwater 100 km2 outlet 34,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,prototype,screening,,,"[""mesh_ready"", ""regional_headwater""]",transient_backend_compare,Transient backend comparison,comparison,,skipped_missing_required_fields,,,false,,,,missing_required_fields,Missing required field(s): transient_backend_comparison_config,"[""transient_backend_comparison_config""]"
